Site_Key,date_time,wy,wdate,year,month,day,hour,minute,ta,rh,ea,td,si,ws,wd
012,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-6.40,0.53,188.0,-13.60,312.0,3.00,170.0
031,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-9.30,0.62,171.0,-14.70,327.0,4.40,112.0
076,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-2.70,0.43,209.0,-12.40,321.0,4.60,132.0
095b,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-5.60,0.51,192.0,-13.40,362.0,3.90,322.0
098c,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-5.60,0.51,192.0,-13.40,362.0,3.90,322.0
124,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-6.30,0.42,149.0,-16.10,360.0,4.20,112.0
124b,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-4.40,0.36,152.0,-15.90,375.0,2.00,136.0
125,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-3.20,0.40,187.0,-13.60,322.0,2.90,67.0
127,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-6.30,0.54,194.0,-13.30,308.0,4.40,233.0
128,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-11.80,0.70,154.0,-15.70,-999.0,8.50,160.0
13803,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-9.80,0.66,174.0,-14.40,373.0,10.90,-999.0
138j10,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-10.00,0.64,166.0,-14.90,364.0,9.00,-999.0
138l21,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-8.20,0.44,130.0,-17.80,414.0,7.90,137.0
144,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-2.70,0.34,164.0,-15.10,321.0,1.00,191.0
145,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-3.50,0.34,155.0,-15.70,354.0,2.30,321.0
163,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-4.00,0.96,420.0,-4.50,363.0,2.80,129.0
166b,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-7.30,0.34,108.0,-19.50,360.0,10.10,133.0
167,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-8.80,0.60,173.0,-14.50,330.0,112.00,4.4
174,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-4.30,0.39,167.0,-15.00,340.0,2.10,129.0
176,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-6.20,0.32,116.0,-18.80,346.0,6.40,106.0
rmsp3,"2008-01-01 12:00:00",2008,93,2008,1,1,12,0,-8.80,0.59,170.0,-14.70,309.0,3.70,209.0
