Site_Key,date_time,stm002_5,stm005,stm010,stm015,stm020,stm030,stm040,stm050,stm055,stm060,stm070,stm090,stm120,stm180
1,"2014-01-01 12:00:00",-999.00,-0.90,-999.00,-999.00,-0.60,-999.00,-999.00,1.10,-999.00,-999.00,-999.00,3.20,4.90,6.60
2,"2014-01-01 12:00:00",-999.00,-0.80,-999.00,-999.00,0.60,-999.00,-999.00,2.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
3,"2014-01-01 12:00:00",-999.00,-0.20,-999.00,-999.00,0.60,-999.00,-999.00,2.00,-999.00,-999.00,-999.00,3.90,-999.00,-999.00
4,"2014-01-01 12:00:00",-999.00,-1.10,-999.00,-999.00,-0.60,-999.00,-999.00,0.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
5,"2014-01-01 12:00:00",-999.00,1.30,-999.00,-999.00,1.50,-999.00,-999.00,2.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
6,"2014-01-01 12:00:00",-999.00,-1.10,-999.00,-999.00,-0.80,-999.00,-999.00,0.80,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
7,"2014-01-01 12:00:00",-999.00,4.90,-999.00,-999.00,2.00,2.90,-999.00,3.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
8,"2014-01-01 12:00:00",-999.00,-1.10,-999.00,-999.00,-0.10,-999.00,-999.00,0.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
9,"2014-01-01 12:00:00",-999.00,0.60,-999.00,-999.00,1.80,2.60,-999.00,3.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
10,"2014-01-01 12:00:00",-999.00,1.60,-999.00,-999.00,1.80,2.60,-999.00,3.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
11,"2014-01-01 12:00:00",-999.00,-0.60,-999.00,-999.00,1.80,2.60,-999.00,3.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
